COD_ABI;BANCA
06355;CASSA DI RISPARMIO DI VERONA, VICENZA, B
06370;CASSA DI RISPARMIO DI VOLTERRA SPA
06380;CASSA DI RISPARMIO DI TERNI E NARNI SPA
06385;CASSA DI RISPARMIO IN BOLOGNA SPA
06390;INTESA GESTIONE CREDITI S.P.A.
06906;BANCA REGIONALE EUROPEA SPA C/O UBI BANC
06915;BANCA DEL MONTE DI LUCCA SPA
06930;BANCA MONTE PARMA SPA FUS INTESA SANPAOL
07010;BANCA DI CREDITO COOPERATIVO DI MAIERATO
07012;BANCA DI CREDITO COOPERATIVO DI BARI SC
07017;BANCA DI CREDITO COOPERATIVO DEL CIRCEO
07026;BANCA DI TERAMO E DI ASCOLI DI  CREDITO
07027;BANCA DI CREDITO COOPERATIVO DI MONOPOLI
07048;BANCA DELL'ELBA CREDITO COOPERATIVO S.C.
07056;BANCA DELL'ALTA MURGIA CREDITO  COOPERAT
07057;CREDITO COOPERATIVO INTERPROVINCIALE VEN
07058;BANCA REGGIANA - CC S.C.R.L. FUS. BANCO
07060;BCC DEL GARIGLIANO - S.C.R.L.  FUS.ABI 8
07062;CREDITO COOPERATIVO MEDIOCRATI  SOC. COO
07066;B.C.C. DEI COMUNI CILENTANI
07067;BANCA DELLA TUSCIA CC.FUS BCC DI ROMA
07070;CREDITO COOPERATIVO ROMAGNOLO - BCC DI C
07072;EMIL BANCA - CREDITO COOPERATIVO - SOCIE
07073;BANCA ROMAGNA COOPERATIVA
07074;BANCA DI MONASTIER E DEL SILE CREDITO CO
07075;CREDIUMBRIA BANCA DI CREDITO COOPERATIVO
07076;BANCA CREMASCA - CREDITO COOPERATIVO SOC
07078;BANCA DIC REDITO COOPERATIVO DEI CASTELL
07080;CREDITO ETNEO - BANCA DI CREDITOCOOEPRAT
07083;BANCA DI CREDITO COOPERATIVO PRIVERNATE
07084;BANCA DELLA MARCA CREDITO COOPERATIVO -
07085;CREDITO COOPERATIVO FRIULI SCRL
07086;BANCA DI CREDITO COOPERATIVO DELL'ADRIAT
07087;BANCA DI TARANTO B.C.C.
07090;BANCA MALATESTIANA - CREDITO COOPERATIVO
07091;BANCA DEL CATANZARESE-CREDITO COOPERATIV
07092;BANCA DI CREDITO COOPERATIVO DEI CASTELL
07094;BANCA DI CREDITO COOPERATIVO DI MASSAFRA
07095;BANCA APUANA - CREDITO COOPERATIVO DI MA
07096;BANCA DI CREDITO COOPERATIVO DI CAGLIARI
07098;"BANCA DI CREDITO COOPERATIVO ANTONELLO"""
07099;CREDITO ARETUSEO BCCSOC.COOP.S  FUS.BCC
07100;BANCA DI CREDITO COOPERATIVO DELLA CONTE
07101;BANCA DI ANDRIA DI CREDITO COOP S.R.L.
07103;BANCA DI CREDITO COOPERATIVO DELLA COSTA
07107;BANCA DEL FERMANO CREDITO COOP.
07108;BANCA DI CREDITO COOPERATIVO AGRIGENTINO
07109;BANCA DI CREDITO COOPERATIVO BA CA BRUTI
07110;BANCA DI CREDITO COOPERATIVO DI NAPOLI
07111;BANCA DI FRASCATI - DI COOPERATIVA
07112;BANCA DI VIGEVANO CREDITO COOPERATIVO
07113;BANCA DI CREDITO COOPERATIVO DI PUTIGNAN
07114;BCC DEGLI ERNICI S.C.P.A.
07115;BCC DI SCANDICCI BANCO FIORENTI  NO
07116;BANCA DEL VOMANO - BANCA DI CREDITO COOP
07117;BCC DI RIVAROLO CANAVESE, RIVAR ENTI TER
07118;BANCA DI PARMA - CREDITO COOPER SOCIETA'
07600;UFFICIO POSTALE
07601;POSTE ITALIANE SPA
07602;CASSA DEPOSITI E PRESTITI
08000;ICCREA BANCA S.P.A. - ISTITUTO  CENTRALE
08001;MANTOVABANCA 1896 CREDITO COOPERATIVO S.
08003;CC VALDINIEVOLE BCC DI MONTECAT INI TERM
08010;CASSA RAIFFEISEN VAL BADIA SCRL
08011;CASSA RURALE BASSA VALLAGARINA  -BCC - S
08013;CASSA RURALE DI ALDENO E CADINE B.C.C. S
08015;CASSA RAIFFEISEN DI ANDRIANO SOC. COOP
08016;CASSA RURALE ALTO GARDA B.C.C.  SOCIETA'
08019;CASSA RURALE ED ARTIGIANA DI ALBIDONA
08020;CASSA RAIFFEISEN ALTA PUSTERIA  S.A.R.L.
08024;CASSA RURALE ADAMELLO - BRENTA  BANCA CR
08026;CASSA RURALE DI LEDRO BANCA DI  CREDITO
08030;BANCA DI CREDITO COOPERATIVO DI BORGHETT
08031;CASSA RURALE DI BRENTONICO BANCADI CREDI
08035;CASSA RAIFFEISEN DI BRUNICO SCRLRAIFFEIS
08039;BANCA DI CREDITO COOPERATIVO DI SASSANO
08042;CASSA RURALE DI RABBI E CALDES SCRL BCC
08043;CASSA RURALE DI CALDONAZZO
08056;CASSA RAIFFEISEN CASTELROTTO -  ORTISEI
08057;CASSA RURALE CENTROFIEMME - CAVALESE B.C
08060;CASSA RAIFFEISEN DI CIARDES S.C.
08063;CASSA RURALE DI CONDINO FUS. CASSA RURAL
08065;CASSA RAIFFEISEN SCHLERN-ROSENGARTEN SOC
08066;CASSA RAIFFEISEN ALTA VENOSTA SOC. COOP.
08071;BANCA DI CREDITO COOPERATIVO DI VALLEDOL
08078;CASSA RURALE GIUDICARIE VALSABBIA PAGANE
08079;CASSA RURALE BASSA ANAUNIA
08080;CASSA RAIFFEISEN DI DOBBIACO SCRL-RAIFFE
08081;CASSA RURALE DI BOLZANO - RAIFFEISENKASS
08083;CASSA RURALE ED ARTIGIANA DI FISCIANO
08086;BANCA DI CREDITO COOPERATIVO DI FALCONAR
08088;CASSA RURALE DON LORENZO GUETTI DI QUADR
08091;CASSA RURALE DEGLI ALTIPIANI BANCA DI CR
08094;CASSA RAIFFEISEN DI FUNES SC RAIFFEISENK
08095;CREDITO COOPERATIVO REGGIANO S.C.R.L.
08100;CASSA RURALE DI GIOVO BCC
08102;CASSA RURALE VALSUGANA E TESINO
08107;CASSA RURALE DI ISERA BANCA DI  CREDITO
08110;CASSA RAIFFEISEN LACES SOCIETA  COOPERAT
08112;CASSA RAIFFEISEN DI LAGUNDO SCRL
08113;CASSA RAIFFEISEN BASSA VALL'ISARCO S.C.
08114;CASSA RAIFFEISEN BASSA ATESINA  S.C. TRA
08115;CASSA RAIFFEISEN DI LANA S.C. RAIFFEISEN
08117;CASSA RAIFFEISEN DI LASA S.C. RAIFFEISEN
08120;CASSA RURALE LAVIS - VALLE DI CEMBRA B.C
08121;CASSA RURALE DI LEVICO TERME
08123;CASSA RURALE DI LIZZANA BANCA DI CREDITO
08126;BANCA DI CREDITO COOPERATIVO DI MONTEPAO
08132;CASSA RURALE DELLA VALLE DEI LAGHI
